"(Server Name, Domain)",Servers known in domain
"('dns4.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns2.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsc.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns3.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsd.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns1.nic.uk.', 'uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsb.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsa.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns4.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns2.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
