"(Server Name, Domain)",Servers known in domain
"('d.ext.nic.fr.', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('d.nic.fr.', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('f.ext.nic.fr.', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('e.ext.nic.fr.', 'fr')","{'g.ext.nic.fr.', 'd.ext.nic.fr.', 'd.nic.fr.', 'f.ext.nic.fr.', 'e.ext.nic.fr.'}"
"('g.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('e.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('d.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('i.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('b.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('j.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('k.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('l.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('h.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('f.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('m.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('c.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('a.root-servers.net', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
