Server Name,Server Information
b0.nic.io.,"DNS information
Domain: io
Host: b0.nic.io.
IPv4 Addresses: 65.22.161.17 
IPv6 Addresses :2a01:8840:9f::17 
Description: Name server for domain ""io"""
ns-a1.io.,"DNS information
Domain: io
Host: ns-a1.io.
IPv4 Addresses: 194.0.1.1 
IPv6 Addresses :2001:678:4::1 
Description: Name server for domain ""io"""
d.gov-servers.net.,"DNS information
Domain: gov
Host: d.gov-servers.net.
IPv4 Addresses: 81.19.194.30 
IPv6 Addresses :2620:74:29::2:30 
Description: Name server for domain ""gov"""
c.gov-servers.net.,"DNS information
Domain: gov
Host: c.gov-servers.net.
IPv4 Addresses: 69.36.153.30 
IPv6 Addresses :2620:74:28::2:30 
Description: Name server for domain ""gov"""
a.gov-servers.net.,"DNS information
Domain: gov
Host: a.gov-servers.net.
IPv4 Addresses: 69.36.157.30 
IPv6 Addresses :2001:500:4431::2:30 
Description: Name server for domain ""gov"""
b.gov-servers.net.,"DNS information
Domain: gov
Host: b.gov-servers.net.
IPv4 Addresses: 209.112.123.30 
IPv6 Addresses :2620:74:27::2:30 
Description: Name server for domain ""gov"""
s.de.net.,"DNS information
Domain: de
Host: s.de.net.
IPv4 Addresses: 195.243.137.26 
IPv6 Addresses :2003:8:14::53 
Description: Name server for domain ""de"""
a.nic.de.,"DNS information
Domain: de
Host: a.nic.de.
IPv4 Addresses: 194.0.0.53 
IPv6 Addresses :2001:678:2::53 
Description: Name server for domain ""de"""
f.nic.de.,"DNS information
Domain: de
Host: f.nic.de.
IPv4 Addresses: 81.91.164.5 
IPv6 Addresses :2a02:568:0:2::53 
Description: Name server for domain ""de"""
l.de.net.,"DNS information
Domain: de
Host: l.de.net.
IPv4 Addresses: 77.67.63.105 
IPv6 Addresses :2001:668:1f:11::105 
Description: Name server for domain ""de"""
z.nic.de.,"DNS information
Domain: de
Host: z.nic.de.
IPv4 Addresses: 194.246.96.1 
IPv6 Addresses : No information
Description: Name server for domain ""de"""
n.de.net.,"DNS information
Domain: de
Host: n.de.net.
IPv4 Addresses: 194.146.107.6 
IPv6 Addresses :2001:67c:1011:1::53 
Description: Name server for domain ""de"""
anycast23.irondns.net.,"DNS information
Domain: scot
Host: anycast23.irondns.net.
IPv4 Addresses: 195.253.65.11 
IPv6 Addresses :2a01:5b0:5::b 
Description: Name server for domain ""scot"""
anycast24.irondns.net.,"DNS information
Domain: scot
Host: anycast24.irondns.net.
IPv4 Addresses: 195.253.65.12 
IPv6 Addresses :2a01:5b0:5::c 
Description: Name server for domain ""scot"""
anycast10.irondns.net.,"DNS information
Domain: scot
Host: anycast10.irondns.net.
IPv4 Addresses: 195.253.64.12 
IPv6 Addresses :2a01:5b0:4::c 
Description: Name server for domain ""scot"""
anycast9.irondns.net.,"DNS information
Domain: scot
Host: anycast9.irondns.net.
IPv4 Addresses: 195.253.64.11 
IPv6 Addresses :2a01:5b0:4::b 
Description: Name server for domain ""scot"""
ns.msu.ru.,"DNS information
Domain: edu.ru
Host: ns.msu.ru.
IPv4 Addresses: 93.180.0.1 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.runnet.ru.,"DNS information
Domain: edu.ru
Host: ns.runnet.ru.
IPv4 Addresses: 194.85.32.18 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.informika.ru.,"DNS information
Domain: edu.ru
Host: ns.informika.ru.
IPv4 Addresses: 194.226.215.65 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns2.free.net.,"DNS information
Domain: edu.ru
Host: ns2.free.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns2.informika.ru.,"DNS information
Domain: edu.ru
Host: ns2.informika.ru.
IPv4 Addresses: 194.190.241.65 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.informika.RU.,"DNS information
Domain: edu.ru
Host: ns.informika.RU.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.runnet.RU.,"DNS information
Domain: edu.ru
Host: ns.runnet.RU.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns2.informika.RU.,"DNS information
Domain: edu.ru
Host: ns2.informika.RU.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.msu.RU.,"DNS information
Domain: edu.ru
Host: ns.msu.RU.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.MSU.RU.,"DNS information
Domain: edu.ru
Host: ns.MSU.RU.
IPv4 Addresses: 93.180.0.1 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.RUNNET.RU.,"DNS information
Domain: edu.ru
Host: ns.RUNNET.RU.
IPv4 Addresses: 194.85.32.18 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns.INFORMIKA.RU.,"DNS information
Domain: edu.ru
Host: ns.INFORMIKA.RU.
IPv4 Addresses: 194.226.215.65 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns2.INFORMIKA.RU.,"DNS information
Domain: edu.ru
Host: ns2.INFORMIKA.RU.
IPv4 Addresses: 194.190.241.65 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
a0.org.afilias-nst.info.,"DNS information
Domain: org
Host: a0.org.afilias-nst.info.
IPv4 Addresses: 199.19.56.1 
IPv6 Addresses :2001:500:e::1 
Description: Name server for domain ""org"""
c0.org.afilias-nst.info.,"DNS information
Domain: org
Host: c0.org.afilias-nst.info.
IPv4 Addresses: 199.19.53.1 
IPv6 Addresses :2001:500:b::1 
Description: Name server for domain ""org"""
a2.org.afilias-nst.info.,"DNS information
Domain: org
Host: a2.org.afilias-nst.info.
IPv4 Addresses: 199.249.112.1 
IPv6 Addresses :2001:500:40::1 
Description: Name server for domain ""org"""
b0.org.afilias-nst.org.,"DNS information
Domain: org
Host: b0.org.afilias-nst.org.
IPv4 Addresses: 199.19.54.1 
IPv6 Addresses :2001:500:c::1 
Description: Name server for domain ""org"""
b2.org.afilias-nst.org.,"DNS information
Domain: org
Host: b2.org.afilias-nst.org.
IPv4 Addresses: 199.249.120.1 
IPv6 Addresses :2001:500:48::1 
Description: Name server for domain ""org"""
d0.org.afilias-nst.org.,"DNS information
Domain: org
Host: d0.org.afilias-nst.org.
IPv4 Addresses: 199.19.57.1 
IPv6 Addresses :2001:500:f::1 
Description: Name server for domain ""org"""
cns.cernet.net.,"DNS information
Domain: gov.cn
Host: cns.cernet.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""gov.cn"""
ns1.cctld.co.,"DNS information
Domain: co
Host: ns1.cctld.co.
IPv4 Addresses: 156.154.100.25 
IPv6 Addresses :2001:502:2eda::21 
Description: Name server for domain ""co"""
ns5.cctld.co.,"DNS information
Domain: co
Host: ns5.cctld.co.
IPv4 Addresses: 156.154.104.25 
IPv6 Addresses :2610:a1:1011::21 
Description: Name server for domain ""co"""
ns6.cctld.co.,"DNS information
Domain: co
Host: ns6.cctld.co.
IPv4 Addresses: 156.154.105.25 
IPv6 Addresses :2610:a1:1012::21 
Description: Name server for domain ""co"""
ns2.cctld.co.,"DNS information
Domain: co
Host: ns2.cctld.co.
IPv4 Addresses: 156.154.101.25 
IPv6 Addresses :2001:502:ad09::21 
Description: Name server for domain ""co"""
ns3.cctld.co.,"DNS information
Domain: co
Host: ns3.cctld.co.
IPv4 Addresses: 156.154.102.25 
IPv6 Addresses :2610:a1:1009::21 
Description: Name server for domain ""co"""
