"(Server Name, Domain)",Servers known in domain
"('c.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('h.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('d.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('i.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('a.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('j.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('b.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('e.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('f.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('m.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('k.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('g.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('l.root-servers.net', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('b2.org.afilias-nst.org.', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('c0.org.afilias-nst.info.', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('a0.org.afilias-nst.info.', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('a2.org.afilias-nst.info.', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('d0.org.afilias-nst.org.', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('b0.org.afilias-nst.org.', 'org')","{'b2.org.afilias-nst.org.', 'c0.org.afilias-nst.info.', 'a0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.'}"
"('a.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('c.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('i.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('k.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('e.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('l.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('g.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('f.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('m.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('b.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('j.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('h.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('d.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('ns3.google.com.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('ns4.google.com.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('ns2.google.com.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('ns1.google.com.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns2.google.com.', 'ns1.google.com.'}"
"('d0.org.afilias-nst.org.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('b2.org.afilias-nst.org.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('c0.org.afilias-nst.info.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('b0.org.afilias-nst.org.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('a0.org.afilias-nst.info.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('a2.org.afilias-nst.info.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
