Application Name,Application ID
,
"('ilns.ilan.net.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('ns1.ns.il.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('sns-pb.isc.org.', 'walla.co.il')","{'ns-1595.awsdns-07.co.uk.', 'ns-1086.awsdns-07.org.', 'ns-104.awsdns-13.com.', 'ns-992.awsdns-60.net.'}"
,
"('g.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('i.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('d.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('j.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('l.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('m.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('e.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('h.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('a.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('k.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('f.root-servers.net', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('g.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('i.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('f.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('m.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('d.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('c.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('e.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('a.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('b.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'l.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('j.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('k.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'b.gtld-servers.net.', 'a.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('l.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('h.gtld-servers.net.', 'com')","{'g.gtld-servers.net.', 'i.gtld-servers.net.', 'f.gtld-servers.net.', 'm.gtld-servers.net.', 'd.gtld-servers.net.', 'c.gtld-servers.net.', 'e.gtld-servers.net.', 'a.gtld-servers.net.', 'b.gtld-servers.net.', 'j.gtld-servers.net.', 'k.gtld-servers.net.', 'l.gtld-servers.net.', 'h.gtld-servers.net.'}"
,
"('g.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('i.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('f.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('m.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('d.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('c.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('e.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('a.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('b.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('j.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('k.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('l.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('h.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('ns3.google.com.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('ns2.google.com.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('ns1.google.com.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('ns4.google.com.', 'google.com')","{'ns3.google.com.', 'ns2.google.com.', 'ns1.google.com.', 'ns4.google.com.'}"
,
"('nsa.ns.il.', 'org.il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('lookup.iucc.ac.il.', 'org.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns3.ns.il.', 'org.il')","{'nsa.ns.il.', 'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nsb.ns.il.', 'org.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns2.ns.il.', 'org.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nse.ns.il.', 'org.il')","{'lookup.iucc.ac.il.', 'ns3.ns.il.', 'nsa.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ilns.ilan.net.il.', 'org.il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('ns1.ns.il.', 'org.il')","{'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns3.ns.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('sns-pb.isc.org.', 'org.il')","{'nsa.ns.il.', 'ns3.ns.il.', 'lookup.iucc.ac.il.', 'nsb.ns.il.', 'ns2.ns.il.', 'nse.ns.il.', 'ilns.ilan.net.il.', 'ns1.ns.il.', 'sns-pb.isc.org.'}"
,
"('nsa.ns.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('lookup.iucc.ac.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('ns3.ns.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('nsb.ns.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('ns2.ns.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('nse.ns.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('ilns.ilan.net.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('ns1.ns.il.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('sns-pb.isc.org.', 'aguda.org.il')","{'ns76.jetserver.net.', 'ns75.jetserver.net.'}"
,
"('g.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
