"(Server Name, Domain)",Servers known in domain
"('nshz.alibabaonline.com.', '1688.com')","{'ns1.alibabadns.com.', 'ns2.alibabadns.com.'}"
"('ns4.iqilu.com.', 'iqilu.com')","{'ns5.iqilu.com.', 'ns4.iqilu.com.'}"
"('m.root-servers.net', 'rs')","{'l.nic.rs.', 'b.nic.rs.', 'k.nic.rs.', 'g.nic.rs.', 'a.nic.rs.', 'h.nic.rs.', 'f.nic.rs.'}"
"('ba1.ns.ua.', 'com.ua')","{'ho1.ns.com.ua.', 'sns-pb.isc.org.', 'k.ns.com.ua.', 'nix.ns.ua.', 'ba1.ns.ua.'}"
"('c.root-servers.net', 'zone')","{'demand.beta.aridns.net.au.', 'demand.gamma.aridns.net.au.', 'demand.delta.aridns.net.au.', 'demand.alpha.aridns.net.au.'}"
"('i.root-servers.net', 'ma')","{'ns1.registre.ma.', 'ns3.registre.ma.', 'ns2.nic.fr.', 'ns4.registre.ma.', 'dns.inria.fr.', 'ns2.registre.ma.', 'sns-pb.isc.org.'}"
"('i.root-servers.net', 'it')","{'m.dns.it.', 's.dns.it.', 'dns.nic.it.', 'nameserver.cnr.it.', 'a.dns.it.', 'r.dns.it.'}"
"('a.root-servers.net', 'it')","{'m.dns.it.', 's.dns.it.', 'dns.nic.it.', 'a.dns.it.', 'nameserver.cnr.it.', 'r.dns.it.'}"
"('d.root-servers.net', 'ci')","{'ns1.nic.ci.', 'ci.hosting.nic.fr.', 'ns-ci.afrinic.net.', 'ns.nic.ci.', 'phloem.uoregon.edu.', 'censvrns0001.ird.fr.', 'any.nic.ci.'}"
"('ns2.dns.nic.moe.', 'moe')","{'ns5.dns.nic.moe.', 'ns3.dns.nic.moe.', 'ns6.dns.nic.moe.', 'ns4.dns.nic.moe.', 'ns1.dns.nic.moe.', 'ns2.dns.nic.moe.'}"
