Server Name,Server Information
ns1.sina.com.cn.,"DNS information
Domain: sina.com.cn
Host: ns1.sina.com.cn.
IPv4 Addresses: 202.106.184.166 
IPv6 Addresses : No information
Description: Name server for domain ""sina.com.cn"""
e.dns.kr.,"DNS information
Domain: kr
Host: e.dns.kr.
IPv4 Addresses: 202.30.124.100 
IPv6 Addresses :2001:dcc:5::100 
Description: Name server for domain ""kr"""
ns.msu.ru.,"DNS information
Domain: edu.ru
Host: ns.msu.ru.
IPv4 Addresses: 93.180.0.1 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
RIP.PSG.COM.,"DNS information
Domain: eg
Host: RIP.PSG.COM.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""eg"""
u.au.,"DNS information
Domain: au
Host: u.au.
IPv4 Addresses: 211.29.133.32 
IPv6 Addresses : No information
Description: Name server for domain ""au"""
b0.cctld.afilias-nst.org.,"DNS information
Domain: ac.in
Host: b0.cctld.afilias-nst.org.
IPv4 Addresses: 199.254.60.1 
IPv6 Addresses :2001:500:26::1 
Description: Name server for domain ""ac.in"""
cy-ns.anycast.pch.net.,"DNS information
Domain: cy
Host: cy-ns.anycast.pch.net.
IPv4 Addresses: 204.61.216.44 
IPv6 Addresses :2001:500:14:6044:ad::1 
Description: Name server for domain ""cy"""
a.cctld.us.,"DNS information
Domain: us
Host: a.cctld.us.
IPv4 Addresses: 156.154.124.70 
IPv6 Addresses : No information
Description: Name server for domain ""us"""
PCH.RCP.PE.,"DNS information
Domain: pe
Host: PCH.RCP.PE.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""pe"""
petra.nic.gov.jo.,"DNS information
Domain: jo
Host: petra.nic.gov.jo.
IPv4 Addresses: 193.188.66.2 
IPv6 Addresses : No information
Description: Name server for domain ""jo"""
ns3bru.europa.eu.,"DNS information
Domain: europa.eu
Host: ns3bru.europa.eu.
IPv4 Addresses:  No information
IPv6 Addresses :2a01:7080:14:101::2 
Description: Name server for domain ""europa.eu"""
zeina.aub.edu.lb.,"DNS information
Domain: lb
Host: zeina.aub.edu.lb.
IPv4 Addresses: 193.188.128.14 
IPv6 Addresses : No information
Description: Name server for domain ""lb"""
ns8.alibabaonline.com.,"DNS information
Domain: 1688.com
Host: ns8.alibabaonline.com.
IPv4 Addresses: 140.205.2.185 140.205.71.244 
IPv6 Addresses : No information
Description: Name server for domain ""1688.com"""
ph.communitydns.net.,"DNS information
Domain: ph
Host: ph.communitydns.net.
IPv4 Addresses: 194.0.1.23 
IPv6 Addresses :2001:678:4::17 
Description: Name server for domain ""ph"""
ns1.dns.aq.,"DNS information
Domain: lb
Host: ns1.dns.aq.
IPv4 Addresses: 203.119.56.132 
IPv6 Addresses : No information
Description: Name server for domain ""lb"""
ns1.anteldata.com.uy.,"DNS information
Domain: uy
Host: ns1.anteldata.com.uy.
IPv4 Addresses: 200.40.30.254 
IPv6 Addresses :2800:a0:53:1001::1 
Description: Name server for domain ""uy"""
c.gtld-servers.net.,"DNS information
Domain: com
Host: c.gtld-servers.net.
IPv4 Addresses: 192.26.92.30 
IPv6 Addresses :2001:503:83eb::30 
Description: Name server for domain ""com"""
ns4.p29.dynect.net.,"DNS information
Domain: parliament.uk
Host: ns4.p29.dynect.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""parliament.uk"""
