Server Name,Server Information
nserver6.apple.com.,"DNS information
Domain: apple.com
Host: nserver6.apple.com.
IPv4 Addresses: 17.171.63.40 
IPv6 Addresses : No information
Description: Name server for domain ""apple.com"""
a.ns.dns.be.,"DNS information
Domain: be
Host: a.ns.dns.be.
IPv4 Addresses: 194.0.6.1 
IPv6 Addresses :2001:678:9::1 
Description: Name server for domain ""be"""
b.ns.dns.be.,"DNS information
Domain: be
Host: b.ns.dns.be.
IPv4 Addresses: 194.0.37.1 
IPv6 Addresses :2001:678:64::1 
Description: Name server for domain ""be"""
c.ns.dns.be.,"DNS information
Domain: be
Host: c.ns.dns.be.
IPv4 Addresses: 194.0.43.1 
IPv6 Addresses :2001:678:68::1 
Description: Name server for domain ""be"""
d.ns.dns.be.,"DNS information
Domain: be
Host: d.ns.dns.be.
IPv4 Addresses: 194.0.44.1 
IPv6 Addresses :2001:678:6c::1 
Description: Name server for domain ""be"""
x.ns.dns.be.,"DNS information
Domain: be
Host: x.ns.dns.be.
IPv4 Addresses: 194.0.1.10 
IPv6 Addresses :2001:678:4::a 
Description: Name server for domain ""be"""
y.ns.dns.be.,"DNS information
Domain: be
Host: y.ns.dns.be.
IPv4 Addresses: 120.29.253.8 
IPv6 Addresses :2001:dcd:7::8 
Description: Name server for domain ""be"""
a.gl.dyntld.net.,"DNS information
Domain: gl
Host: a.gl.dyntld.net.
IPv4 Addresses: 162.88.52.8 
IPv6 Addresses :2600:2000:3000::8 
Description: Name server for domain ""gl"""
a.nuuk.nic.gl.,"DNS information
Domain: gl
Host: a.nuuk.nic.gl.
IPv4 Addresses: 194.177.224.13 
IPv6 Addresses : No information
Description: Name server for domain ""gl"""
b.gl.dyntld.net.,"DNS information
Domain: gl
Host: b.gl.dyntld.net.
IPv4 Addresses: 162.88.53.8 
IPv6 Addresses :2600:2000:3001::8 
Description: Name server for domain ""gl"""
d.nic.gl.,"DNS information
Domain: gl
Host: d.nic.gl.
IPv4 Addresses: 204.61.216.49 
IPv6 Addresses :2001:500:14:6049:ad::1 
Description: Name server for domain ""gl"""
dns.lttnet.net.,"DNS information
Domain: ly
Host: dns.lttnet.net.
IPv4 Addresses: 62.240.36.9 
IPv6 Addresses : No information
Description: Name server for domain ""ly"""
pch.ltt.ly.,"DNS information
Domain: ly
Host: pch.ltt.ly.
IPv4 Addresses: 204.61.216.67 
IPv6 Addresses :2001:500:14:6067:ad::1 
Description: Name server for domain ""ly"""
dns1.lttnet.net.,"DNS information
Domain: ly
Host: dns1.lttnet.net.
IPv4 Addresses: 62.68.42.9 
IPv6 Addresses : No information
Description: Name server for domain ""ly"""
ns-ly.afrinic.net.,"DNS information
Domain: ly
Host: ns-ly.afrinic.net.
IPv4 Addresses: 196.216.168.24 
IPv6 Addresses :2001:43f8:120::24 
Description: Name server for domain ""ly"""
phloem.uoregon.edu.,"DNS information
Domain: ly
Host: phloem.uoregon.edu.
IPv4 Addresses: 128.223.32.35 
IPv6 Addresses :2001:468:d01:20::80df:2023 
Description: Name server for domain ""ly"""
ns-70.awsdns-08.com.,"DNS information
Domain: vimeo.com
Host: ns-70.awsdns-08.com.
IPv4 Addresses: 205.251.192.70 
IPv6 Addresses : No information
Description: Name server for domain ""vimeo.com"""
ns-682.awsdns-21.net.,"DNS information
Domain: vimeo.com
Host: ns-682.awsdns-21.net.
IPv4 Addresses: 205.251.194.170 
IPv6 Addresses : No information
Description: Name server for domain ""vimeo.com"""
ns-1886.awsdns-43.co.uk.,"DNS information
Domain: vimeo.com
Host: ns-1886.awsdns-43.co.uk.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""vimeo.com"""
ns-1463.awsdns-54.org.,"DNS information
Domain: vimeo.com
Host: ns-1463.awsdns-54.org.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""vimeo.com"""
cns3.godaddy.com.,"DNS information
Domain: godaddy.com
Host: cns3.godaddy.com.
IPv4 Addresses: 97.74.97.102 
IPv6 Addresses :2603:5:2110::66 
Description: Name server for domain ""godaddy.com"""
cns2.godaddy.com.,"DNS information
Domain: godaddy.com
Host: cns2.godaddy.com.
IPv4 Addresses: 173.201.64.100 
IPv6 Addresses :2603:5:2200::64 
Description: Name server for domain ""godaddy.com"""
cns1.godaddy.com.,"DNS information
Domain: godaddy.com
Host: cns1.godaddy.com.
IPv4 Addresses: 208.109.255.100 
IPv6 Addresses :2607:f208:207::64 
Description: Name server for domain ""godaddy.com"""
a9-67.akam.net.,"DNS information
Domain: godaddy.com
Host: a9-67.akam.net.
IPv4 Addresses: 184.85.248.67 
IPv6 Addresses :2a02:26f0:117::43 
Description: Name server for domain ""godaddy.com"""
a8-67.akam.net.,"DNS information
Domain: godaddy.com
Host: a8-67.akam.net.
IPv4 Addresses: 2.16.40.67 
IPv6 Addresses :2600:1403:a::43 
Description: Name server for domain ""godaddy.com"""
a1-245.akam.net.,"DNS information
Domain: godaddy.com
Host: a1-245.akam.net.
IPv4 Addresses: 193.108.91.245 
IPv6 Addresses :2600:1401:2::f5 
Description: Name server for domain ""godaddy.com"""
a20-65.akam.net.,"DNS information
Domain: godaddy.com
Host: a20-65.akam.net.
IPv4 Addresses: 95.100.175.65 
IPv6 Addresses :2a02:26f0:67::41 
Description: Name server for domain ""godaddy.com"""
a11-64.akam.net.,"DNS information
Domain: godaddy.com
Host: a11-64.akam.net.
IPv4 Addresses: 84.53.139.64 
IPv6 Addresses :2600:1480:1::40 
Description: Name server for domain ""godaddy.com"""
a6-66.akam.net.,"DNS information
Domain: godaddy.com
Host: a6-66.akam.net.
IPv4 Addresses: 23.211.133.66 
IPv6 Addresses :2600:1401:1::42 
Description: Name server for domain ""godaddy.com"""
ns3.msft.net.,"DNS information
Domain: microsoft.com
Host: ns3.msft.net.
IPv4 Addresses: 193.221.113.53 
IPv6 Addresses :2620:0:34::53 
Description: Name server for domain ""microsoft.com"""
ns1.msft.net.,"DNS information
Domain: microsoft.com
Host: ns1.msft.net.
IPv4 Addresses: 208.84.0.53 
IPv6 Addresses :2620:0:30::53 
Description: Name server for domain ""microsoft.com"""
ns2.msft.net.,"DNS information
Domain: microsoft.com
Host: ns2.msft.net.
IPv4 Addresses: 208.84.2.53 
IPv6 Addresses :2620:0:32::53 
Description: Name server for domain ""microsoft.com"""
ns4.msft.net.,"DNS information
Domain: microsoft.com
Host: ns4.msft.net.
IPv4 Addresses: 208.76.45.53 
IPv6 Addresses :2620:0:37::53 
Description: Name server for domain ""microsoft.com"""
x.dns.eu.,"DNS information
Domain: eu
Host: x.dns.eu.
IPv4 Addresses: 185.151.141.1 
IPv6 Addresses :2a02:568:fe00::6575 
Description: Name server for domain ""eu"""
y.dns.eu.,"DNS information
Domain: eu
Host: y.dns.eu.
IPv4 Addresses: 194.146.106.90 
IPv6 Addresses :2001:67c:1010:23::53 
Description: Name server for domain ""eu"""
z.dns.eu.,"DNS information
Domain: eu
Host: z.dns.eu.
IPv4 Addresses: 162.88.56.1 
IPv6 Addresses :2600:2000:3004::1 
Description: Name server for domain ""eu"""
cz.dns.eu.,"DNS information
Domain: eu
Host: cz.dns.eu.
IPv4 Addresses: 93.190.128.138 
IPv6 Addresses : No information
Description: Name server for domain ""eu"""
nl.dns.eu.,"DNS information
Domain: eu
Host: nl.dns.eu.
IPv4 Addresses: 91.200.16.100 
IPv6 Addresses : No information
Description: Name server for domain ""eu"""
si.dns.eu.,"DNS information
Domain: eu
Host: si.dns.eu.
IPv4 Addresses: 193.2.221.60 
IPv6 Addresses :2001:1470:8000:100::1 
Description: Name server for domain ""eu"""
uk.dns.eu.,"DNS information
Domain: eu
Host: uk.dns.eu.
IPv4 Addresses: 195.66.241.178 
IPv6 Addresses : No information
Description: Name server for domain ""eu"""
adobe-dns-03.adobe.com.,"DNS information
Domain: adobe.com
Host: adobe-dns-03.adobe.com.
IPv4 Addresses: 193.104.215.45 
IPv6 Addresses : No information
Description: Name server for domain ""adobe.com"""
adobe-dns-01.adobe.com.,"DNS information
Domain: adobe.com
Host: adobe-dns-01.adobe.com.
IPv4 Addresses: 192.150.11.56 
IPv6 Addresses : No information
Description: Name server for domain ""adobe.com"""
adobe-dns-04.adobe.com.,"DNS information
Domain: adobe.com
Host: adobe-dns-04.adobe.com.
IPv4 Addresses: 192.147.130.168 
IPv6 Addresses : No information
Description: Name server for domain ""adobe.com"""
adobe-dns-05.adobe.com.,"DNS information
Domain: adobe.com
Host: adobe-dns-05.adobe.com.
IPv4 Addresses: 103.43.113.56 
IPv6 Addresses : No information
Description: Name server for domain ""adobe.com"""
a10-64.akam.net.,"DNS information
Domain: adobe.com
Host: a10-64.akam.net.
IPv4 Addresses: 96.7.50.64 
IPv6 Addresses : No information
Description: Name server for domain ""adobe.com"""
a28-67.akam.net.,"DNS information
Domain: adobe.com
Host: a28-67.akam.net.
IPv4 Addresses: 95.100.173.67 
IPv6 Addresses : No information
Description: Name server for domain ""adobe.com"""
a26-66.akam.net.,"DNS information
Domain: adobe.com
Host: a26-66.akam.net.
IPv4 Addresses: 23.74.25.66 
IPv6 Addresses : No information
Description: Name server for domain ""adobe.com"""
a7-64.akam.net.,"DNS information
Domain: adobe.com
Host: a7-64.akam.net.
IPv4 Addresses: 23.61.199.64 
IPv6 Addresses :2600:1406:32::40 
Description: Name server for domain ""adobe.com"""
a1-217.akam.net.,"DNS information
Domain: adobe.com
Host: a1-217.akam.net.
IPv4 Addresses: 193.108.91.217 
IPv6 Addresses :2600:1401:2::d9 
Description: Name server for domain ""adobe.com"""
a13-65.akam.net.,"DNS information
Domain: adobe.com
Host: a13-65.akam.net.
IPv4 Addresses: 2.22.230.65 
IPv6 Addresses :2600:1480:800::41 
Description: Name server for domain ""adobe.com"""
ns1.cctld.co.,"DNS information
Domain: co
Host: ns1.cctld.co.
IPv4 Addresses: 156.154.100.25 
IPv6 Addresses :2001:502:2eda::21 
Description: Name server for domain ""co"""
ns2.cctld.co.,"DNS information
Domain: co
Host: ns2.cctld.co.
IPv4 Addresses: 156.154.101.25 
IPv6 Addresses :2001:502:ad09::21 
Description: Name server for domain ""co"""
ns3.cctld.co.,"DNS information
Domain: co
Host: ns3.cctld.co.
IPv4 Addresses: 156.154.102.25 
IPv6 Addresses :2610:a1:1009::21 
Description: Name server for domain ""co"""
ns4.cctld.co.,"DNS information
Domain: co
Host: ns4.cctld.co.
IPv4 Addresses: 156.154.103.25 
IPv6 Addresses :2610:a1:1010::21 
Description: Name server for domain ""co"""
ns5.cctld.co.,"DNS information
Domain: co
Host: ns5.cctld.co.
IPv4 Addresses: 156.154.104.25 
IPv6 Addresses :2610:a1:1011::21 
Description: Name server for domain ""co"""
ns6.cctld.co.,"DNS information
Domain: co
Host: ns6.cctld.co.
IPv4 Addresses: 156.154.105.25 
IPv6 Addresses :2610:a1:1012::21 
Description: Name server for domain ""co"""
a.gov-servers.net.,"DNS information
Domain: gov
Host: a.gov-servers.net.
IPv4 Addresses: 69.36.157.30 
IPv6 Addresses :2001:500:4431::2:30 
Description: Name server for domain ""gov"""
b.gov-servers.net.,"DNS information
Domain: gov
Host: b.gov-servers.net.
IPv4 Addresses: 209.112.123.30 
IPv6 Addresses :2620:74:27::2:30 
Description: Name server for domain ""gov"""
c.gov-servers.net.,"DNS information
Domain: gov
Host: c.gov-servers.net.
IPv4 Addresses: 69.36.153.30 
IPv6 Addresses :2620:74:28::2:30 
Description: Name server for domain ""gov"""
d.gov-servers.net.,"DNS information
Domain: gov
Host: d.gov-servers.net.
IPv4 Addresses: 81.19.194.30 
IPv6 Addresses :2620:74:29::2:30 
Description: Name server for domain ""gov"""
nsa.nic.uk.,"DNS information
Domain: uk
Host: nsa.nic.uk.
IPv4 Addresses: 156.154.100.3 
IPv6 Addresses :2001:502:ad09::3 
Description: Name server for domain ""uk"""
nsb.nic.uk.,"DNS information
Domain: uk
Host: nsb.nic.uk.
IPv4 Addresses: 156.154.101.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
nsc.nic.uk.,"DNS information
Domain: uk
Host: nsc.nic.uk.
IPv4 Addresses: 156.154.102.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
nsd.nic.uk.,"DNS information
Domain: uk
Host: nsd.nic.uk.
IPv4 Addresses: 156.154.103.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
dns1.nic.uk.,"DNS information
Domain: uk
Host: dns1.nic.uk.
IPv4 Addresses: 213.248.216.1 
IPv6 Addresses :2a01:618:400::1 
Description: Name server for domain ""uk"""
dns2.nic.uk.,"DNS information
Domain: uk
Host: dns2.nic.uk.
IPv4 Addresses: 103.49.80.1 
IPv6 Addresses :2401:fd80:400::1 
Description: Name server for domain ""uk"""
dns3.nic.uk.,"DNS information
Domain: uk
Host: dns3.nic.uk.
IPv4 Addresses: 213.248.220.1 
IPv6 Addresses :2a01:618:404::1 
Description: Name server for domain ""uk"""
dns4.nic.uk.,"DNS information
Domain: uk
Host: dns4.nic.uk.
IPv4 Addresses: 43.230.48.1 
IPv6 Addresses :2401:fd80:404::1 
Description: Name server for domain ""uk"""
ns1.no-ip.com.,"DNS information
Domain: apache.org
Host: ns1.no-ip.com.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""apache.org"""
ns2.no-ip.com.,"DNS information
Domain: apache.org
Host: ns2.no-ip.com.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""apache.org"""
ns2.surfnet.nl.,"DNS information
Domain: apache.org
Host: ns2.surfnet.nl.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""apache.org"""
ns3.no-ip.com.,"DNS information
Domain: apache.org
Host: ns3.no-ip.com.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""apache.org"""
ns4.no-ip.com.,"DNS information
Domain: apache.org
Host: ns4.no-ip.com.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""apache.org"""
ns1.w3.org.,"DNS information
Domain: w3.org
Host: ns1.w3.org.
IPv4 Addresses: 128.30.52.200 
IPv6 Addresses :2603:400a:ffff:804:801e:34:0:c8 
Description: Name server for domain ""w3.org"""
ns2.w3.org.,"DNS information
Domain: w3.org
Host: ns2.w3.org.
IPv4 Addresses: 128.30.52.201 
IPv6 Addresses :2603:400a:ffff:804:801e:34:0:c9 
Description: Name server for domain ""w3.org"""
ns3.w3.org.,"DNS information
Domain: w3.org
Host: ns3.w3.org.
IPv4 Addresses: 193.51.208.66 
IPv6 Addresses : No information
Description: Name server for domain ""w3.org"""
ns.nih.gov.,"DNS information
Domain: nih.gov
Host: ns.nih.gov.
IPv4 Addresses: 128.231.128.251 
IPv6 Addresses :2607:f220:404:101::80e7:80fb 
Description: Name server for domain ""nih.gov"""
ns2.nih.gov.,"DNS information
Domain: nih.gov
Host: ns2.nih.gov.
IPv4 Addresses: 128.231.64.1 
IPv6 Addresses :2607:f220:418:4101::80e7:401 
Description: Name server for domain ""nih.gov"""
ns3.nih.gov.,"DNS information
Domain: nih.gov
Host: ns3.nih.gov.
IPv4 Addresses: 165.112.4.230 
IPv6 Addresses :2607:f220:402:1801::a570:4e6 
Description: Name server for domain ""nih.gov"""
lhcns2.nlm.nih.gov.,"DNS information
Domain: nlm.nih.gov
Host: lhcns2.nlm.nih.gov.
IPv4 Addresses: 130.14.55.128 
IPv6 Addresses :2607:f220:41e:7055::128 
Description: Name server for domain ""nlm.nih.gov"""
lhcns1.nlm.nih.gov.,"DNS information
Domain: nlm.nih.gov
Host: lhcns1.nlm.nih.gov.
IPv4 Addresses: 130.14.55.72 
IPv6 Addresses :2607:f220:41e:7055::72 
Description: Name server for domain ""nlm.nih.gov"""
dns2-ncbi.ncbi.nlm.nih.gov.,"DNS information
Domain: ncbi.nlm.nih.gov
Host: dns2-ncbi.ncbi.nlm.nih.gov.
IPv4 Addresses: 130.14.29.32 
IPv6 Addresses :2607:f220:41e:4290::32 
Description: Name server for domain ""ncbi.nlm.nih.gov"""
dns1-ncbi.ncbi.nlm.nih.gov.,"DNS information
Domain: ncbi.nlm.nih.gov
Host: dns1-ncbi.ncbi.nlm.nih.gov.
IPv4 Addresses: 130.14.29.31 
IPv6 Addresses :2607:f220:41e:4290::31 
Description: Name server for domain ""ncbi.nlm.nih.gov"""
a.ns.facebook.com.,"DNS information
Domain: facebook.com
Host: a.ns.facebook.com.
IPv4 Addresses: 69.171.239.12 
IPv6 Addresses :2a03:2880:fffe:c:face:b00c:0:35 
Description: Name server for domain ""facebook.com"""
